scenario_id,p_seapar,coarse_smoothing,date,year,CHLF,common_support,s2_openwater_reference_candidate,common_support_segment_id,prediction
B2_2019_coarse_1000,1,1000,2019-04-17,2019,4.8965100000000001,True,True,2019_segment_1,3.582953929901123
B2_2019_coarse_1000,1,1000,2019-04-18,2019,6.3200000000000003,True,False,2019_segment_1,3.5355081558227539
B2_2019_coarse_1000,1,1000,2019-04-19,2019,4.9500000000000002,True,False,2019_segment_1,3.4879329204559326
B2_2019_coarse_1000,1,1000,2019-04-20,2019,4.0700000000000003,True,False,2019_segment_1,3.4402682781219482
B2_2019_coarse_1000,1,1000,2019-04-21,2019,4.0899999999999999,True,False,2019_segment_1,3.392554759979248
B2_2019_coarse_1000,1,1000,2019-04-22,2019,3.9399999999999999,True,True,2019_segment_1,3.3448317050933838
B2_2019_coarse_1000,1,1000,2019-04-23,2019,4.4000000000000004,True,False,2019_segment_1,3.2971389293670654
B2_2019_coarse_1000,1,1000,2019-04-24,2019,1.9497,True,True,2019_segment_1,3.2495157718658447
B2_2019_coarse_1000,1,1000,2019-04-25,2019,2.1053500000000001,True,False,2019_segment_1,3.2020008563995361
B2_2019_coarse_1000,1,1000,2019-04-26,2019,2.5600100000000001,True,False,2019_segment_1,3.1546323299407959
B2_2019_coarse_1000,1,1000,2019-04-27,2019,2.29786,True,True,2019_segment_1,3.1074483394622803
B2_2019_coarse_1000,1,1000,2019-04-28,2019,2.7156500000000001,True,False,2019_segment_1,3.0604856014251709
B2_2019_coarse_1000,1,1000,2019-04-29,2019,2.8999700000000002,True,True,2019_segment_1,3.0137808322906494
B2_2019_coarse_1000,1,1000,2019-04-30,2019,1.86066,True,False,2019_segment_1,2.9673700332641602
B2_2019_coarse_1000,1,1000,2019-05-01,2019,1.9510099999999999,True,False,2019_segment_1,2.9212877750396729
B2_2019_coarse_1000,1,1000,2019-05-02,2019,1.7898499999999999,True,False,2019_segment_1,2.8755686283111572
B2_2019_coarse_1000,1,1000,2019-05-03,2019,1.63357,True,False,2019_segment_1,2.8302457332611084
B2_2019_coarse_1000,1,1000,2019-05-04,2019,1.5651999999999999,True,False,2019_segment_1,2.7853517532348633
B2_2019_coarse_1000,1,1000,2019-05-05,2019,1.5090399999999999,True,False,2019_segment_1,2.7409186363220215
B2_2019_coarse_1000,1,1000,2019-05-06,2019,1.4016,True,False,2019_segment_1,2.696976900100708
B2_2019_coarse_1000,1,1000,2019-05-07,2019,1.9534499999999999,True,False,2019_segment_1,2.6535565853118896
