date,year,scl_gate_pass,l2a_representative_status,l2a_product_id,l1c_pairing_status,source_l1c_product_id,atmospheric_correction_method,reflectance_quantity,acolite_product_directory_count,acolite_phase6a_alignment_status
2019-04-17,2019,True,frozen_representative,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,exact_unique,S2A_MSIL1C_20190417T102031_N0500_R065_T34VCM_20221023T062324,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-04-19,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-04-22,2019,True,frozen_representative,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,exact_unique,S2B_MSIL1C_20190422T102029_N0500_R065_T34VCM_20221024T063616,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-04-24,2019,True,frozen_representative,S2A_MSIL2A_20190424T101031_N0500_R022_T34VCM_20221025T062127,exact_unique,S2A_MSIL1C_20190424T101031_N0500_R022_T34VCM_20221024T205552,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-04-27,2019,True,frozen_representative,S2A_MSIL2A_20190427T102031_N0500_R065_T34VCM_20221110T101345,exact_unique,S2A_MSIL1C_20190427T102031_N0500_R065_T34VCM_20221110T011848,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-04-29,2019,True,frozen_representative,S2B_MSIL2A_20190429T101029_N0500_R022_T34VCM_20221101T154544,exact_unique,S2B_MSIL1C_20190429T101029_N0500_R022_T34VCM_20221101T080700,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-05-02,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-05-04,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-05-07,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-05-09,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-05-12,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-05-14,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-05-17,2019,True,frozen_representative,S2A_MSIL2A_20190517T102031_N0500_R065_T34VCM_20221204T165718,exact_unique,S2A_MSIL1C_20190517T102031_N0500_R065_T34VCM_20221204T064053,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-05-19,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-05-24,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-05-27,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-05-29,2019,True,frozen_representative,S2B_MSIL2A_20190529T101039_N0500_R022_T34VCM_20221213T045958,exact_unique,S2B_MSIL1C_20190529T101039_N0500_R022_T34VCM_20221212T161928,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-06-01,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-06-03,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-06-06,2019,True,frozen_representative,S2A_MSIL2A_20190606T102031_N0500_R065_T34VCM_20230605T110741,ambiguous_multiple_candidates,,ACOLITE,rhos,0,not_eligible_l1c_pairing_ambiguous_multiple_candidates
2019-06-08,2019,True,frozen_representative,S2B_MSIL2A_20190608T101029_N0500_R022_T34VCM_20230626T160325,exact_unique,S2B_MSIL1C_20190608T101029_N0500_R022_T34VCM_20230626T033348,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-06-11,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-06-13,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-06-16,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-06-18,2019,True,frozen_representative,S2B_MSIL2A_20190618T101029_N0500_R022_T34VCM_20230805T164433,exact_unique,S2B_MSIL1C_20190618T101029_N0500_R022_T34VCM_20230805T075457,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-06-21,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-06-23,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-06-26,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-06-28,2019,True,frozen_representative,S2B_MSIL2A_20190628T101039_N0500_R022_T34VCM_20221222T110427,exact_unique,S2B_MSIL1C_20190628T101039_N0500_R022_T34VCM_20221221T083605,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-07-01,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-07-03,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-07-06,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-07-08,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-07-11,2019,True,frozen_representative,S2B_MSIL2A_20190711T102029_N0500_R065_T34VCM_20230716T055255,exact_unique,S2B_MSIL1C_20190711T102029_N0500_R065_T34VCM_20230715T214824,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-07-13,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-07-16,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-07-18,2019,True,frozen_representative,S2B_MSIL2A_20190718T101039_N0500_R022_T34VCM_20230806T193442,exact_unique,S2B_MSIL1C_20190718T101039_N0500_R022_T34VCM_20230806T134626,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-07-21,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-07-23,2019,True,frozen_representative,S2A_MSIL2A_20190723T101031_N0500_R022_T34VCM_20230719T012350,exact_unique,S2A_MSIL1C_20190723T101031_N0500_R022_T34VCM_20230718T015529,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-07-26,2019,True,frozen_representative,S2A_MSIL2A_20190726T102031_N0500_R065_T34VCM_20230509T235130,exact_unique,S2A_MSIL1C_20190726T102031_N0500_R065_T34VCM_20230509T045252,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-07-28,2019,True,frozen_representative,S2B_MSIL2A_20190728T101029_N0500_R022_T34VCM_20230711T050005,exact_unique,S2B_MSIL1C_20190728T101029_N0500_R022_T34VCM_20230710T194856,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-07-31,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-08-02,2019,True,frozen_representative,S2A_MSIL2A_20190802T101031_N0500_R022_T34VCM_20230508T041636,exact_unique,S2A_MSIL1C_20190802T101031_N0500_R022_T34VCM_20230507T065150,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-08-05,2019,True,frozen_representative,S2A_MSIL2A_20190805T102031_N0500_R065_T34VCM_20230506T211615,exact_unique,S2A_MSIL1C_20190805T102031_N0500_R065_T34VCM_20230506T110027,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-08-07,2019,True,frozen_representative,S2B_MSIL2A_20190807T101029_N0500_R022_T34VCM_20230723T201405,exact_unique,S2B_MSIL1C_20190807T101029_N0500_R022_T34VCM_20230722T223108,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-08-10,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-08-12,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-08-15,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-08-17,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-08-20,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-08-22,2019,True,frozen_representative,S2A_MSIL2A_20190822T101031_N0500_R022_T34VCM_20230706T042034,exact_unique,S2A_MSIL1C_20190822T101031_N0500_R022_T34VCM_20230705T195754,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-08-25,2019,True,frozen_representative,S2A_MSIL2A_20190825T102031_N0500_R065_T34VCM_20230430T190322,exact_unique,S2A_MSIL1C_20190825T102031_N0500_R065_T34VCM_20230430T034035,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-08-27,2019,True,frozen_representative,S2B_MSIL2A_20190827T101029_N0500_R022_T34VCM_20230524T153400,exact_unique,S2B_MSIL1C_20190827T101029_N0500_R022_T34VCM_20230523T230349,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-08-30,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-09-01,2019,True,frozen_representative,S2A_MSIL2A_20190901T101031_N0500_R022_T34VCM_20230702T225854,exact_unique,S2A_MSIL1C_20190901T101031_N0500_R022_T34VCM_20230701T230615,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-09-04,2019,True,frozen_representative,S2A_MSIL2A_20190904T102021_N0500_R065_T34VCM_20230703T073148,exact_unique,S2A_MSIL1C_20190904T102021_N0500_R065_T34VCM_20230702T101739,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-09-06,2019,True,frozen_representative,S2B_MSIL2A_20190906T101029_N0500_R022_T34VCM_20230502T203254,exact_unique,S2B_MSIL1C_20190906T101029_N0500_R022_T34VCM_20230501T234630,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-09-09,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-09-11,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-09-14,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-09-16,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-09-19,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-09-21,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-09-24,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-09-26,2019,True,frozen_representative,S2B_MSIL2A_20190926T101029_N0500_R022_T34VCM_20230628T061823,exact_unique,S2B_MSIL1C_20190926T101029_N0500_R022_T34VCM_20230627T065915,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-09-29,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-10-01,2019,True,frozen_representative,S2A_MSIL2A_20191001T101031_N0500_R022_T34VCM_20230614T115927,exact_unique,S2A_MSIL1C_20191001T101031_N0500_R022_T34VCM_20230614T021139,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-10-04,2019,True,frozen_representative,S2A_MSIL2A_20191004T102031_N0500_R065_T34VCM_20230613T223937,exact_unique,S2A_MSIL1C_20191004T102031_N0500_R065_T34VCM_20230613T124317,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-10-06,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-10-09,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-10-11,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-10-14,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-10-16,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
2019-10-19,2019,True,frozen_representative,S2B_MSIL2A_20191019T102029_N0500_R065_T34VCM_20230622T072030,exact_unique,S2B_MSIL1C_20191019T102029_N0500_R065_T34VCM_20230622T001059,ACOLITE,rhos,1,eligible_exact_l1c_product_found
2019-10-21,2019,False,no_representative_frozen_scl_gate_failed,,no_l2a_representative_for_date,,ACOLITE,rhos,0,not_eligible_no_frozen_l2a_representative
