selection_version,selection_rule_id,date,year,observation_method,product_level,reflectance_quantity,source_product_id,paired_l2a_product_id,source_alignment_status,frozen_scl_gate_pass,l2a_representative_status,l1c_pairing_status,exact_three_method_source_alignment,method_product_available,required_qa_complete,source_failure_reason,minimum_valid_pixels,window_pixel_count,diagnostic_flags_exclusionary,mci_wavelength_source,NDCI_valid_pixel_count,NDCI_median,ndci_observation_eligible,ndci_selection_status,MCI_valid_pixel_count,MCI_median,mci_observation_eligible,mci_selection_status,common_B456_valid_count,common_b456_observation_eligible,common_b456_selection_status,selection_chlf_used,analysis_version,reference_date_match,CHLF,PRESENCE_ICE,open_water,measurement_regime,reference_analysis_eligible,ndci_method_specific_support,ndci_matchup_status,ndci_primary_common_support,mci_method_specific_support,mci_matchup_status,mci_primary_common_support
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-17,2019,L1C,L1C,TOA,S2A_MSIL1C_20190417T102031_N0500_R065_T34VCM_20221023T062324,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,exact_unique,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.08065366367949392,True,eligible_at_least_6_of_9_valid_pixels,9,3.333333333333313e-05,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,4.89651,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-17,2019,L2A,L2A,BOA,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,frozen_representative,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.18518518518518517,True,eligible_at_least_6_of_9_valid_pixels,9,0.00027999999999999987,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,4.89651,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-17,2019,ACOLITE,L2R,rhos,S2A_MSIL1C_20190417T102031_N0500_R065_T34VCM_20221023T062324,S2A_MSIL2A_20190417T102031_N0500_R065_T34VCM_20221023T092125,eligible_exact_l1c_product_found,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.00927903250170527,True,eligible_at_least_6_of_9_valid_pixels,9,0.00047582335149248464,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,4.89651,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-19,2019,L1C,L1C,TOA,,,no_l2a_representative_for_date,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_l2a_representative_for_date,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_l2a_representative_for_date,,,,unavailable_no_l2a_representative_for_date,,,unavailable_no_l2a_representative_for_date,False,erken_s2_chlf_matchup_analysis_v1.0,True,4.95,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-19,2019,L2A,L2A,BOA,,,no_representative_frozen_scl_gate_failed,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,no_representative_frozen_scl_gate_failed,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_no_representative_frozen_scl_gate_failed,,,,unavailable_no_representative_frozen_scl_gate_failed,,,unavailable_no_representative_frozen_scl_gate_failed,False,erken_s2_chlf_matchup_analysis_v1.0,True,4.95,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-19,2019,ACOLITE,L2R,rhos,,,not_eligible_no_frozen_l2a_representative,False,no_representative_frozen_scl_gate_failed,no_l2a_representative_for_date,False,False,False,not_eligible_no_frozen_l2a_representative,6,9,False,nominal_fixed_665_705_740_nm,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,,unavailable_not_eligible_no_frozen_l2a_representative,,,unavailable_not_eligible_no_frozen_l2a_representative,False,erken_s2_chlf_matchup_analysis_v1.0,True,4.95,0,True,pre_2023,True,False,unavailable_frozen_observation_selection,False,False,unavailable_frozen_observation_selection,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-22,2019,L1C,L1C,TOA,S2B_MSIL1C_20190422T102029_N0500_R065_T34VCM_20221024T063616,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,exact_unique,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,0.02514121165134566,True,eligible_at_least_6_of_9_valid_pixels,9,-0.007004999999999997,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,3.94,0,True,pre_2023,True,True,eligible_method_specific_support,False,True,eligible_method_specific_support,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-22,2019,L2A,L2A,BOA,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,frozen_representative,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,0.06920415224913494,True,eligible_at_least_6_of_9_valid_pixels,9,-0.0018466666666666631,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,3.94,0,True,pre_2023,True,True,eligible_method_specific_support,False,True,eligible_method_specific_support,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-22,2019,ACOLITE,L2R,rhos,S2B_MSIL1C_20190422T102029_N0500_R065_T34VCM_20221024T063616,S2B_MSIL2A_20190422T102029_N0500_R065_T34VCM_20221024T121833,eligible_exact_l1c_product_found,True,frozen_representative,exact_unique,True,True,True,no_valid_pixels_after_acolite_qa_in_3x3_window,6,9,False,nominal_fixed_665_705_740_nm,0,,False,ineligible_below_6_valid_pixels,0,,False,ineligible_below_6_valid_pixels,0,False,ineligible_below_6_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,3.94,0,True,pre_2023,True,False,ineligible_frozen_observation_rule,False,False,ineligible_frozen_observation_rule,False
erken_s2_observation_selection_v1.0,erken_s2_primary3x3_min6_v1,2019-04-24,2019,L1C,L1C,TOA,S2A_MSIL1C_20190424T101031_N0500_R022_T34VCM_20221024T205552,S2A_MSIL2A_20190424T101031_N0500_R022_T34VCM_20221025T062127,exact_unique,True,frozen_representative,exact_unique,True,True,True,,6,9,False,nominal_fixed_665_705_740_nm,9,-0.026291370244355024,True,eligible_at_least_6_of_9_valid_pixels,9,-0.0018216666666666659,True,eligible_at_least_6_of_9_valid_pixels,9,True,eligible_at_least_6_of_9_valid_pixels,False,erken_s2_chlf_matchup_analysis_v1.0,True,1.9497,0,True,pre_2023,True,True,eligible_method_specific_support,True,True,eligible_method_specific_support,True
